Creation Date,Service Request Number,Street Address,Type of Service Request,Household Income in Past 12 Months,Estimate of Black Population,Estimate of White Population
03/30/2018,18-01082710,8608 S ESCANABA AVE,Alley Light Out,325,768,67
03/30/2018,18-01086555,342 W 111TH ST,Alley Light Out,308,1067,0
03/30/2018,18-01085551,8441 S BURLEY AVE,Alley Light Out,299,504,329
03/30/2018,18-01084830,5649 N MELVINA AVE,Alley Light Out,384,1,961
03/30/2018,18-01084476,4717 N CLARK ST,Alley Light Out,1032,385,1481
03/30/2018,18-01084201,3132 N NEW ENGLAND AVE,Alley Light Out,328,51,612
03/30/2018,18-01083675,2125 W 18TH ST,Alley Light Out,460,0,1140
03/30/2018,18-01083406,11014 S AVENUE J,Alley Light Out,226,0,579
03/30/2018,18-01082706,10326 S VERNON AVE,Alley Light Out,360,1073,6
03/30/2018,18-01086892,2529 N HARDING AVE,Alley Light Out,542,117,1290
03/30/2018,18-01082693,215 N KARLOV AVE,Alley Light Out,375,1205,25
03/30/2018,18-01082534,3517 W 79TH ST,Alley Light Out,640,1482,305
03/30/2018,18-01082342,6629 W 63RD PL,Alley Light Out,794,28,1604
03/30/2018,18-01081629,200 N KARLOV AVE,Alley Light Out,375,1205,25
03/30/2018,18-01081181,3848 W 84TH ST,Alley Light Out,297,445,234
03/30/2018,18-01081026,2320 W PETERSON AVE,Alley Light Out,691,435,1306
03/30/2018,18-01080530,11747 S THROOP ST,Alley Light Out,385,1385,0
03/30/2018,18-01086668,1250 E 69TH ST,Alley Light Out,700,1958,10
03/30/2018,18-01086941,8109 S INGLESIDE AVE,Alley Light Out,199,602,0
03/30/2018,18-01087076,1732 N ROCKWELL ST,Alley Light Out,592,178,1086
03/30/2018,18-01086374,3505 N NOTTINGHAM AVE,Alley Light Out,490,0,1334
03/30/2018,18-01079932,4735 S HALSTED ST,Alley Light Out,332,78,625
03/30/2018,18-01081532,8100 S TALMAN AVE,Alley Light Out,500,1593,158
03/30/2018,18-01083419,3600 S WOLCOTT AVE,Alley Light Out,426,26,731
03/30/2018,18-01083720,746 W BELDEN AVE,Alley Light Out,450,9,1002
03/30/2018,18-01084748,2533 W 46TH ST,Alley Light Out,523,5,1355
03/30/2018,18-01086393,3511 N NOTTINGHAM AVE,Alley Light Out,490,0,1334
03/30/2018,18-01081146,10614 S MACKINAW AVE,Alley Light Out,469,45,1146
03/30/2018,18-01078439,707 E 38TH ST,Alley Light Out,637,1506,3
03/30/2018,18-01078453,838 N CALIFORNIA AVE,Alley Light Out,727,463,970
03/30/2018,18-01078943,7066 N RIDGE BLVD,Alley Light Out,608,252,1000
03/30/2018,18-01080380,3746 W WABANSIA AVE,Alley Light Out,311,43,360
03/30/2018,18-01082283,1220 W 111TH PL,Alley Light Out,321,949,4
03/30/2018,18-01084499,4720 N DOVER ST,Alley Light Out,1032,385,1481
03/30/2018,18-01084998,1230 N PARKSIDE AVE,Alley Light Out,352,1030,75
03/30/2018,18-01085085,6238 W 64TH PL,Alley Light Out,799,17,1324
03/30/2018,18-01078775,2705 W SUNNYSIDE AVE,Alley Light Out,347,2,613
03/30/2018,18-01086958,8109 S INGLESIDE AVE,Alley Light Out,199,602,0
03/29/2018,18-01066906,7600 S COLFAX AVE,Alley Light Out,0,0,0
03/29/2018,18-01066631,138 S DAMEN AVE,Alley Light Out,404,508,383
03/29/2018,18-01066497,11323 S TALMAN AVE,Alley Light Out,573,120,1186
03/29/2018,18-01066319,5201 N LAMON AVE,Alley Light Out,382,0,688
03/29/2018,18-01066312,6927 W BALMORAL AVE,Alley Light Out,390,62,1023
03/29/2018,18-01065985,212 S LEAVITT ST,Alley Light Out,404,508,383
