,Alley Light Out,Graffiti Removal,Vacant/Abandoned Building
08/15/2011,158.0,570.0,150.0
04/11/2011,176.0,588.0,145.0
04/12/2011,146.0,467.0,143.0
02/15/2011,446.0,645.0,141.0
07/05/2011,137.0,736.0,121.0
06/30/2011,122.0,456.0,121.0
06/24/2011,98.0,562.0,118.0
05/19/2011,142.0,526.0,115.0
07/08/2011,165.0,479.0,115.0
07/19/2011,156.0,565.0,110.0
07/27/2011,180.0,638.0,109.0
05/03/2011,139.0,617.0,107.0
04/25/2011,160.0,703.0,107.0
10/21/2010,13.0,2.0,106.0
02/02/2012,69.0,490.0,105.0
08/24/2011,147.0,639.0,100.0
07/07/2011,145.0,696.0,100.0
10/27/2011,121.0,577.0,99.0
08/09/2011,172.0,482.0,97.0
04/14/2011,146.0,529.0,94.0
02/01/2013,36.0,428.0,93.0
06/22/2011,112.0,518.0,92.0
04/21/2011,137.0,636.0,91.0
03/15/2011,282.0,693.0,90.0
05/07/2013,63.0,570.0,90.0
04/13/2011,176.0,634.0,89.0
04/18/2011,121.0,487.0,88.0
06/01/2011,166.0,557.0,88.0
01/14/2011,37.0,569.0,88.0
10/14/2011,137.0,452.0,88.0
02/23/2012,82.0,568.0,87.0
10/25/2011,208.0,726.0,87.0
07/18/2011,203.0,707.0,87.0
06/25/2013,58.0,587.0,86.0
07/12/2011,151.0,629.0,86.0
07/06/2011,152.0,900.0,85.0
08/01/2011,147.0,545.0,84.0
05/04/2012,42.0,405.0,84.0
02/10/2011,249.0,204.0,84.0
10/03/2011,210.0,508.0,84.0
09/12/2011,197.0,571.0,83.0
05/23/2011,154.0,615.0,82.0
01/10/2011,74.0,748.0,81.0
10/20/2010,18.0,11.0,80.0
03/15/2012,64.0,559.0,79.0
09/06/2011,150.0,437.0,79.0
07/14/2011,132.0,609.0,79.0
05/17/2016,94.0,312.0,78.0
10/31/2011,149.0,523.0,78.0
07/25/2011,158.0,581.0,78.0
08/22/2011,188.0,557.0,78.0
04/08/2011,142.0,544.0,77.0
07/29/2013,55.0,638.0,77.0
08/07/2012,86.0,524.0,77.0
06/28/2011,233.0,824.0,77.0
10/21/2011,161.0,476.0,76.0
08/29/2012,170.0,427.0,76.0
06/21/2011,125.0,874.0,76.0
06/08/2011,141.0,628.0,75.0
08/31/2011,191.0,630.0,73.0
05/31/2011,164.0,667.0,73.0
07/30/2012,67.0,428.0,73.0
04/04/2011,267.0,700.0,72.0
11/01/2011,185.0,556.0,72.0
10/02/2012,72.0,475.0,72.0
08/06/2012,93.0,404.0,71.0
06/25/2012,45.0,464.0,71.0
02/05/2013,24.0,478.0,70.0
06/26/2012,47.0,545.0,70.0
04/26/2011,170.0,764.0,70.0
05/25/2010,,5.0,69.0
08/26/2013,71.0,693.0,69.0
09/13/2011,237.0,807.0,69.0
08/30/2011,183.0,582.0,69.0
08/18/2011,168.0,584.0,69.0
05/25/2011,97.0,557.0,68.0
05/20/2011,85.0,506.0,68.0
06/23/2011,109.0,571.0,68.0
06/07/2011,91.0,536.0,68.0
07/18/2012,67.0,562.0,67.0
08/12/2013,76.0,651.0,67.0
05/07/2012,46.0,395.0,67.0
08/02/2011,168.0,559.0,67.0
09/28/2012,50.0,469.0,67.0
08/16/2011,188.0,590.0,67.0
02/17/2011,392.0,673.0,67.0
03/06/2012,82.0,773.0,66.0
05/02/2012,54.0,482.0,66.0
08/17/2011,158.0,629.0,66.0
07/15/2011,100.0,566.0,66.0
07/26/2012,61.0,511.0,65.0
03/07/2012,91.0,567.0,65.0
03/18/2011,200.0,534.0,65.0
12/07/2010,23.0,28.0,65.0
06/04/2012,66.0,521.0,65.0
08/11/2011,180.0,533.0,64.0
05/10/2011,112.0,510.0,64.0
05/16/2012,54.0,485.0,64.0
04/29/2011,93.0,540.0,64.0
06/20/2011,151.0,610.0,64.0
05/24/2011,112.0,594.0,64.0
07/20/2011,140.0,526.0,64.0
06/16/2011,129.0,535.0,63.0
11/03/2011,152.0,555.0,63.0
05/05/2011,109.0,582.0,63.0
07/12/2012,53.0,406.0,63.0
08/08/2012,65.0,461.0,63.0
04/22/2011,61.0,691.0,62.0
05/16/2013,82.0,419.0,62.0
10/15/2015,120.0,430.0,62.0
12/27/2011,97.0,438.0,62.0
03/01/2012,75.0,602.0,62.0
08/26/2011,146.0,500.0,62.0
05/04/2011,138.0,564.0,62.0
07/20/2012,35.0,552.0,62.0
03/29/2012,81.0,551.0,62.0
08/05/2011,117.0,453.0,62.0
06/14/2011,132.0,554.0,62.0
07/17/2012,60.0,467.0,61.0
03/08/2012,102.0,567.0,61.0
07/01/2013,72.0,545.0,61.0
09/16/2011,146.0,581.0,61.0
05/30/2013,43.0,561.0,61.0
05/12/2011,146.0,576.0,60.0
09/21/2011,247.0,557.0,60.0
08/05/2013,47.0,680.0,60.0
05/18/2011,109.0,661.0,60.0
03/14/2011,297.0,810.0,60.0
05/22/2012,54.0,542.0,60.0
04/16/2012,60.0,469.0,60.0
07/27/2010,,7.0,60.0
07/26/2011,155.0,609.0,60.0
06/07/2013,60.0,712.0,60.0
07/13/2011,123.0,418.0,60.0
08/23/2011,160.0,617.0,59.0
11/04/2011,105.0,472.0,59.0
08/29/2011,193.0,554.0,59.0
05/10/2012,34.0,424.0,59.0
04/28/2011,105.0,597.0,59.0
08/10/2011,165.0,514.0,59.0
07/10/2012,72.0,581.0,59.0
09/07/2011,285.0,552.0,59.0
07/28/2011,175.0,397.0,59.0
11/19/2010,17.0,,58.0
05/26/2015,75.0,547.0,58.0
05/30/2012,55.0,474.0,58.0
05/17/2011,127.0,660.0,58.0
03/26/2012,82.0,455.0,58.0
09/20/2011,185.0,672.0,58.0
06/27/2011,148.0,634.0,58.0
01/14/2013,40.0,616.0,58.0
07/15/2014,80.0,427.0,58.0
05/06/2011,97.0,396.0,57.0
07/13/2012,58.0,403.0,57.0
09/04/2013,74.0,577.0,57.0
07/23/2012,45.0,460.0,57.0
09/09/2011,195.0,513.0,57.0
07/21/2011,122.0,460.0,57.0
04/18/2012,59.0,479.0,57.0
09/21/2010,3.0,6.0,57.0
07/22/2011,101.0,620.0,56.0
06/19/2012,48.0,528.0,56.0
07/08/2013,101.0,661.0,56.0
09/25/2012,73.0,519.0,56.0
09/15/2011,138.0,365.0,56.0
06/10/2011,91.0,464.0,56.0
09/04/2012,75.0,473.0,56.0
09/23/2011,153.0,513.0,56.0
06/03/2011,109.0,616.0,55.0
04/19/2012,63.0,441.0,55.0
06/29/2011,156.0,584.0,55.0
10/26/2011,158.0,533.0,55.0
05/29/2012,57.0,520.0,55.0
01/30/2013,44.0,475.0,55.0
10/06/2011,216.0,430.0,55.0
01/10/2012,134.0,687.0,55.0
08/19/2011,141.0,464.0,55.0
03/21/2012,78.0,673.0,55.0
08/16/2012,75.0,416.0,55.0
11/14/2011,177.0,745.0,55.0
10/18/2011,172.0,486.0,55.0
04/30/2012,45.0,546.0,55.0
08/27/2012,94.0,625.0,54.0
04/11/2012,61.0,597.0,54.0
08/30/2012,78.0,477.0,54.0
10/01/2012,72.0,600.0,54.0
07/11/2012,63.0,436.0,54.0
04/20/2011,203.0,541.0,54.0
09/19/2011,193.0,574.0,54.0
05/09/2011,105.0,661.0,54.0
04/06/2011,203.0,601.0,54.0
05/21/2013,45.0,492.0,53.0
03/22/2012,74.0,523.0,53.0
08/20/2012,80.0,411.0,53.0
01/08/2013,55.0,546.0,53.0
03/02/2011,401.0,656.0,53.0
06/17/2013,65.0,562.0,53.0
10/07/2011,248.0,446.0,53.0
07/19/2012,42.0,551.0,53.0
02/23/2011,268.0,991.0,53.0
05/08/2012,44.0,525.0,53.0
03/16/2011,254.0,793.0,53.0
10/11/2011,200.0,725.0,53.0
11/30/2011,134.0,510.0,52.0
06/18/2012,66.0,595.0,52.0
08/22/2012,92.0,492.0,52.0
07/28/2014,105.0,564.0,52.0
04/05/2011,225.0,549.0,52.0
07/12/2010,,1.0,52.0
03/28/2012,70.0,599.0,52.0
05/24/2012,46.0,605.0,52.0
03/01/2011,374.0,826.0,52.0
05/17/2012,48.0,428.0,52.0
08/09/2012,58.0,583.0,52.0
05/14/2013,58.0,694.0,52.0
07/09/2012,80.0,582.0,52.0
08/14/2012,90.0,572.0,52.0
03/27/2012,80.0,551.0,52.0
08/17/2012,77.0,522.0,52.0
08/15/2012,88.0,640.0,52.0
07/06/2012,35.0,361.0,51.0
08/02/2012,63.0,471.0,51.0
03/17/2011,253.0,716.0,51.0
06/28/2012,37.0,518.0,51.0
08/25/2011,218.0,618.0,51.0
09/24/2012,88.0,415.0,51.0
07/16/2013,59.0,704.0,51.0
06/12/2012,45.0,538.0,51.0
10/12/2011,259.0,557.0,51.0
08/08/2011,144.0,403.0,51.0
04/09/2012,70.0,490.0,51.0
03/19/2012,151.0,591.0,51.0
11/29/2011,118.0,640.0,51.0
09/08/2011,182.0,489.0,51.0
03/10/2011,310.0,745.0,51.0
08/05/2014,74.0,682.0,51.0
07/11/2011,122.0,702.0,51.0
04/07/2011,180.0,586.0,50.0
10/22/2014,72.0,504.0,50.0
07/29/2011,113.0,398.0,50.0
12/07/2011,156.0,676.0,50.0
03/30/2011,199.0,649.0,50.0
12/19/2011,131.0,354.0,50.0
06/13/2011,135.0,417.0,50.0
09/05/2012,100.0,437.0,50.0
06/06/2012,60.0,444.0,49.0
09/09/2013,74.0,613.0,49.0
06/09/2011,117.0,600.0,49.0
11/18/2011,239.0,441.0,49.0
10/19/2011,159.0,489.0,49.0
08/28/2013,48.0,547.0,49.0
09/22/2011,221.0,609.0,49.0
08/10/2010,1.0,9.0,49.0
01/31/2011,71.0,787.0,49.0
03/14/2012,102.0,667.0,49.0
06/11/2012,57.0,508.0,49.0
03/24/2011,194.0,509.0,49.0
07/24/2012,60.0,429.0,49.0
12/08/2010,29.0,21.0,49.0
05/11/2011,107.0,673.0,49.0
07/25/2012,75.0,307.0,49.0
05/27/2011,92.0,361.0,49.0
08/19/2013,74.0,858.0,49.0
06/15/2012,36.0,416.0,48.0
07/14/2015,89.0,424.0,48.0
06/20/2012,61.0,543.0,48.0
05/26/2011,94.0,476.0,48.0
05/21/2010,,,48.0
07/01/2011,86.0,537.0,48.0
06/05/2012,60.0,432.0,48.0
11/15/2011,198.0,426.0,48.0
02/18/2011,337.0,468.0,48.0
08/03/2011,121.0,517.0,48.0
05/20/2013,50.0,640.0,48.0
04/05/2016,97.0,455.0,48.0
11/08/2010,26.0,12.0,48.0
03/23/2011,193.0,510.0,48.0
08/18/2016,95.0,451.0,48.0
03/13/2012,95.0,649.0,48.0
03/16/2012,93.0,515.0,48.0
05/28/2013,29.0,633.0,47.0
04/24/2012,57.0,496.0,47.0
03/12/2012,87.0,656.0,47.0
02/29/2012,86.0,572.0,47.0
01/24/2011,59.0,685.0,47.0
08/04/2010,,6.0,47.0
04/02/2013,48.0,610.0,47.0
08/28/2012,88.0,411.0,47.0
04/23/2012,49.0,512.0,47.0
06/05/2013,52.0,557.0,47.0
09/12/2012,89.0,367.0,47.0
09/20/2012,67.0,450.0,47.0
11/22/2011,167.0,424.0,47.0
07/16/2012,46.0,479.0,46.0
05/11/2010,,1.0,46.0
09/07/2010,4.0,2.0,46.0
11/21/2011,150.0,615.0,46.0
06/15/2011,133.0,458.0,46.0
04/03/2012,66.0,574.0,46.0
03/23/2012,79.0,462.0,46.0
09/17/2012,89.0,463.0,46.0
05/09/2012,44.0,509.0,46.0
10/03/2012,60.0,423.0,46.0
08/29/2013,46.0,545.0,46.0
10/13/2011,181.0,450.0,46.0
02/03/2012,64.0,480.0,46.0
05/15/2012,65.0,528.0,46.0
09/14/2011,184.0,346.0,46.0
12/16/2011,127.0,600.0,45.0
05/16/2011,103.0,480.0,45.0
11/14/2012,81.0,504.0,45.0
01/29/2013,34.0,516.0,45.0
08/19/2010,,2.0,45.0
10/28/2013,48.0,574.0,45.0
07/03/2012,43.0,485.0,45.0
08/01/2012,66.0,472.0,45.0
12/06/2012,31.0,408.0,45.0
08/30/2010,,4.0,45.0
05/14/2012,71.0,457.0,45.0
09/20/2010,3.0,5.0,45.0
08/13/2013,37.0,551.0,45.0
10/11/2012,77.0,484.0,45.0
12/20/2011,110.0,413.0,45.0
04/02/2012,72.0,422.0,45.0
03/28/2011,221.0,468.0,44.0
03/25/2013,56.0,658.0,44.0
11/07/2011,193.0,662.0,44.0
10/04/2011,255.0,576.0,44.0
02/04/2013,23.0,524.0,44.0
08/24/2012,61.0,469.0,44.0
03/11/2011,271.0,567.0,44.0
06/07/2012,31.0,314.0,44.0
03/03/2011,349.0,738.0,44.0
05/23/2013,41.0,417.0,44.0
06/02/2011,135.0,725.0,44.0
10/24/2011,189.0,547.0,44.0
05/03/2012,61.0,539.0,44.0
02/17/2012,77.0,703.0,44.0
10/29/2012,97.0,403.0,44.0
02/27/2012,95.0,542.0,44.0
04/26/2012,59.0,453.0,44.0
05/31/2013,43.0,499.0,43.0
04/27/2011,134.0,561.0,43.0
01/31/2012,123.0,496.0,43.0
07/09/2013,47.0,520.0,43.0
03/08/2011,403.0,848.0,43.0
02/22/2013,26.0,637.0,43.0
08/21/2013,49.0,615.0,43.0
09/07/2012,52.0,294.0,43.0
01/09/2013,36.0,494.0,43.0
02/25/2011,222.0,779.0,43.0
04/13/2012,44.0,463.0,42.0
