,Alley Light Out,Graffiti Removal,Vacant/Abandoned Building
0,38540.0,448825.0,62104.0
1,15963.0,207133.0,
2,7813.0,60903.0,
3,6092.0,55994.0,
4,5309.0,32849.0,
5,4749.0,20594.0,
6,4631.0,16877.0,
7,4799.0,14743.0,
8,4018.0,11031.0,
9,3250.0,7952.0,
10,2839.0,7118.0,
14,2871.0,6248.0,
13,2712.0,6185.0,
12,2635.0,5889.0,
11,2558.0,5857.0,
15,2609.0,5109.0,
16,2213.0,3821.0,
21,2004.0,3502.0,
17,1950.0,3418.0,
20,1802.0,3307.0,
18,1687.0,3301.0,
19,1744.0,3229.0,
22,1921.0,2719.0,
23,1689.0,2073.0,
25,1322.0,1884.0,
24,1559.0,1805.0,
27,1441.0,1786.0,
28,1563.0,1750.0,
26,1413.0,1731.0,
29,1458.0,1523.0,
30,1376.0,1229.0,
35,1281.0,1113.0,
31,1211.0,1102.0,
34,1108.0,1082.0,
32,1111.0,951.0,
33,1117.0,941.0,
36,1269.0,889.0,
37,1103.0,746.0,
42,1014.0,736.0,
41,989.0,719.0,
40,897.0,679.0,
38,966.0,677.0,
39,865.0,621.0,
43,1057.0,611.0,
44,856.0,505.0,
48,828.0,460.0,
46,728.0,453.0,
49,849.0,441.0,
50,842.0,416.0,
45,812.0,414.0,
47,818.0,374.0,
51,740.0,322.0,
52,603.0,315.0,
56,659.0,303.0,
55,650.0,295.0,
57,695.0,272.0,
53,611.0,253.0,
54,601.0,233.0,
63,608.0,227.0,
60,472.0,226.0,
58,589.0,218.0,
62,529.0,198.0,
59,524.0,187.0,
64,549.0,185.0,
366,5.0,180.0,
65,511.0,176.0,
71,525.0,163.0,
61,562.0,160.0,
70,491.0,156.0,
66,492.0,154.0,
69,452.0,151.0,
67,475.0,140.0,
68,423.0,121.0,
76,411.0,119.0,
77,446.0,117.0,
72,435.0,113.0,
74,396.0,110.0,
73,396.0,110.0,
78,451.0,109.0,
79,341.0,99.0,
81,327.0,93.0,
87,338.0,91.0,
85,388.0,88.0,
83,342.0,87.0,
80,346.0,85.0,
97,291.0,82.0,
75,401.0,78.0,
84,405.0,75.0,
92,344.0,73.0,
91,343.0,72.0,
89,292.0,69.0,
82,320.0,69.0,
90,304.0,63.0,
94,252.0,63.0,
93,287.0,62.0,
86,339.0,62.0,
88,284.0,59.0,
105,279.0,57.0,
96,286.0,56.0,
98,303.0,56.0,
99,291.0,46.0,
104,264.0,43.0,
112,298.0,41.0,
100,261.0,40.0,
95,255.0,40.0,
106,265.0,37.0,
101,246.0,36.0,
107,232.0,35.0,
111,239.0,35.0,
108,211.0,33.0,
113,300.0,30.0,
103,237.0,29.0,
110,234.0,29.0,
423,,26.0,
120,248.0,25.0,
138,132.0,24.0,
102,245.0,24.0,
114,213.0,24.0,
119,248.0,23.0,
115,163.0,22.0,
125,187.0,22.0,
116,204.0,20.0,
129,163.0,20.0,
109,187.0,20.0,
32275,,19.0,
117,193.0,19.0,
122,186.0,18.0,
32401,,18.0,
118,241.0,18.0,
422,,17.0,
137,151.0,17.0,
420,1.0,16.0,
153,117.0,16.0,
133,187.0,15.0,
140,210.0,15.0,
22741,,14.0,
123,177.0,14.0,
126,237.0,14.0,
136,151.0,13.0,
130,158.0,13.0,
157,107.0,13.0,
121,194.0,13.0,
158,96.0,13.0,
146,141.0,13.0,
23392,,12.0,
27051,,12.0,
127,212.0,12.0,
154,134.0,12.0,
26186,,12.0,
141,177.0,12.0,
171,82.0,11.0,
189,96.0,11.0,
160,121.0,11.0,
165,80.0,11.0,
143,121.0,11.0,
30237,,11.0,
30274,,11.0,
134,192.0,11.0,
392,2.0,10.0,
128,171.0,10.0,
147,171.0,10.0,
395,1.0,10.0,
399,1.0,10.0,
196,71.0,10.0,
174,99.0,10.0,
150,113.0,10.0,
410,3.0,10.0,
404,3.0,10.0,
159,98.0,10.0,
170,83.0,9.0,
382,1.0,9.0,
409,2.0,9.0,
186,67.0,9.0,
176,99.0,9.0,
161,123.0,9.0,
135,157.0,9.0,
402,,9.0,
464,,9.0,
32071,,8.0,
31954,,8.0,
396,4.0,8.0,
198,78.0,8.0,
181,78.0,8.0,
124,200.0,8.0,
182,99.0,8.0,
379,10.0,8.0,
162,131.0,8.0,
408,2.0,8.0,
202,83.0,8.0,
417,,8.0,
415,,8.0,
167,103.0,8.0,
177,90.0,8.0,
414,2.0,7.0,
131,150.0,7.0,
310,18.0,7.0,
185,78.0,7.0,
217,57.0,7.0,
164,101.0,7.0,
132,183.0,7.0,
371,10.0,7.0,
403,2.0,6.0,
357,7.0,6.0,
413,3.0,6.0,
383,1.0,6.0,
426,1.0,6.0,
229,44.0,6.0,
178,75.0,6.0,
172,82.0,6.0,
142,167.0,6.0,
151,109.0,6.0,
145,133.0,6.0,
183,92.0,5.0,
238,41.0,5.0,
407,2.0,5.0,
152,120.0,5.0,
144,118.0,5.0,
209,84.0,5.0,
406,2.0,5.0,
227,31.0,5.0,
401,1.0,5.0,
192,86.0,5.0,
163,117.0,5.0,
315,24.0,5.0,
427,1.0,5.0,
428,2.0,5.0,
416,2.0,5.0,
405,,5.0,
224,59.0,5.0,
210,69.0,5.0,
230,49.0,5.0,
155,157.0,5.0,
215,53.0,5.0,
372,3.0,5.0,
173,79.0,5.0,
148,152.0,5.0,
188,79.0,5.0,
419,4.0,4.0,
381,9.0,4.0,
332,8.0,4.0,
421,1.0,4.0,
313,12.0,4.0,
309,18.0,4.0,
318,13.0,4.0,
321,11.0,4.0,
400,2.0,4.0,
191,80.0,4.0,
193,79.0,4.0,
320,12.0,4.0,
203,79.0,4.0,
389,2.0,4.0,
340,10.0,4.0,
175,121.0,4.0,
201,48.0,4.0,
237,46.0,4.0,
375,5.0,4.0,
168,117.0,4.0,
228,36.0,4.0,
243,41.0,4.0,
380,7.0,4.0,
195,66.0,4.0,
139,146.0,3.0,
335,15.0,3.0,
356,9.0,3.0,
323,14.0,3.0,
247,46.0,3.0,
204,64.0,3.0,
306,14.0,3.0,
316,14.0,3.0,
221,59.0,3.0,
223,46.0,3.0,
233,47.0,3.0,
377,9.0,3.0,
149,121.0,3.0,
187,66.0,3.0,
222,50.0,3.0,
231,50.0,3.0,
367,4.0,3.0,
374,7.0,3.0,
190,103.0,3.0,
376,8.0,3.0,
418,,3.0,
437,1.0,3.0,
268,29.0,3.0,
384,4.0,3.0,
250,28.0,3.0,
169,102.0,3.0,
282,25.0,3.0,
296,25.0,3.0,
308,17.0,3.0,
266,34.0,3.0,
429,1.0,3.0,
156,117.0,3.0,
319,8.0,3.0,
361,7.0,3.0,
301,19.0,3.0,
463,,3.0,
397,2.0,3.0,
226,37.0,3.0,
197,84.0,3.0,
259,39.0,3.0,
328,5.0,2.0,
194,71.0,2.0,
358,6.0,2.0,
385,5.0,2.0,
373,4.0,2.0,
225,66.0,2.0,
391,4.0,2.0,
1042,1.0,2.0,
32164,,2.0,
31163,,2.0,
27736,,2.0,
27625,,2.0,
801,,2.0,
456,,2.0,
166,105.0,2.0,
184,99.0,2.0,
354,4.0,2.0,
411,1.0,2.0,
370,6.0,2.0,
369,2.0,2.0,
390,3.0,2.0,
364,3.0,2.0,
394,3.0,2.0,
205,78.0,2.0,
342,6.0,2.0,
327,11.0,2.0,
351,7.0,2.0,
212,67.0,2.0,
368,10.0,2.0,
322,11.0,2.0,
331,11.0,2.0,
254,39.0,2.0,
344,11.0,2.0,
360,12.0,2.0,
307,12.0,2.0,
336,16.0,2.0,
287,18.0,2.0,
299,19.0,2.0,
286,21.0,2.0,
279,21.0,2.0,
270,29.0,2.0,
241,37.0,2.0,
244,37.0,2.0,
273,39.0,2.0,
292,17.0,2.0,
275,34.0,2.0,
345,8.0,2.0,
317,10.0,2.0,
179,64.0,2.0,
199,66.0,2.0,
347,8.0,2.0,
378,7.0,2.0,
346,7.0,2.0,
208,66.0,2.0,
353,10.0,2.0,
386,9.0,2.0,
220,53.0,2.0,
239,48.0,2.0,
793,,1.0,
1106,,1.0,
1021,,1.0,
940,,1.0,
928,,1.0,
894,,1.0,
888,,1.0,
806,,1.0,
242,37.0,1.0,
245,35.0,1.0,
783,,1.0,
665,,1.0,
288,35.0,1.0,
522,,1.0,
1126,,1.0,
461,,1.0,
460,,1.0,
458,,1.0,
258,35.0,1.0,
450,,1.0,
615,,1.0,
253,41.0,1.0,
200,62.0,1.0,
1513,,1.0,
4829,,1.0,
4799,,1.0,
3882,,1.0,
3845,,1.0,
3286,,1.0,
3206,,1.0,
3064,,1.0,
3056,,1.0,
206,57.0,1.0,
2890,,1.0,
2528,,1.0,
252,34.0,1.0,
2527,,1.0,
2388,,1.0,
2348,,1.0,
2345,,1.0,
2238,,1.0,
1862,,1.0,
214,60.0,1.0,
1737,,1.0,
1561,,1.0,
218,61.0,1.0,
432,1.0,1.0,
281,33.0,1.0,
255,32.0,1.0,
1087,2.0,1.0,
314,18.0,1.0,
330,16.0,1.0,
326,16.0,1.0,
312,16.0,1.0,
349,14.0,1.0,
398,2.0,1.0,
325,12.0,1.0,
748,2.0,1.0,
339,11.0,1.0,
207,68.0,1.0,
350,11.0,1.0,
849,3.0,1.0,
1104,3.0,1.0,
932,3.0,1.0,
211,68.0,1.0,
387,4.0,1.0,
666,4.0,1.0,
333,9.0,1.0,
1043,4.0,1.0,
851,4.0,1.0,
324,8.0,1.0,
338,8.0,1.0,
343,7.0,1.0,
363,6.0,1.0,
1019,2.0,1.0,
388,2.0,1.0,
334,18.0,1.0,
412,1.0,1.0,
236,31.0,1.0,
280,31.0,1.0,
1048,1.0,1.0,
1070,1.0,1.0,
1077,1.0,1.0,
442,1.0,1.0,
240,31.0,1.0,
213,70.0,1.0,
283,28.0,1.0,
284,26.0,1.0,
302,25.0,1.0,
263,22.0,1.0,
219,67.0,1.0,
297,21.0,1.0,
840,1.0,1.0,
852,1.0,1.0,
994,1.0,1.0,
919,1.0,1.0,
946,1.0,1.0,
948,1.0,1.0,
949,1.0,1.0,
272,19.0,1.0,
180,85.0,1.0,
1758,1.0,1.0,
1009,4.0,1.0,
216,69.0,,
232,65.0,,
235,57.0,,
265,44.0,,
246,43.0,,
251,43.0,,
267,41.0,,
234,38.0,,
276,38.0,,
248,37.0,,
274,33.0,,
264,31.0,,
261,31.0,,
293,31.0,,
260,30.0,,
257,29.0,,
249,28.0,,
269,26.0,,
278,25.0,,
294,24.0,,
256,24.0,,
290,24.0,,
295,24.0,,
277,23.0,,
262,23.0,,
285,22.0,,
271,22.0,,
329,21.0,,
291,21.0,,
1307,20.0,,
1258,20.0,,
1280,20.0,,
300,20.0,,
298,20.0,,
289,18.0,,
304,17.0,,
303,16.0,,
1308,15.0,,
1315,15.0,,
1306,15.0,,
1281,14.0,,
311,14.0,,
1292,12.0,,
631,12.0,,
1255,12.0,,
1272,12.0,,
1277,12.0,,
1279,11.0,,
341,11.0,,
1289,11.0,,
1795,11.0,,
1793,11.0,,
305,11.0,,
1310,10.0,,
1257,10.0,,
1266,10.0,,
638,10.0,,
1286,10.0,,
1295,10.0,,
603,9.0,,
352,9.0,,
645,9.0,,
1263,9.0,,
1787,9.0,,
1326,9.0,,
1273,9.0,,
1030,9.0,,
1322,9.0,,
1309,9.0,,
1291,9.0,,
1265,9.0,,
1335,8.0,,
1264,8.0,,
1252,8.0,,
624,8.0,,
365,8.0,,
649,8.0,,
2004,8.0,,
652,8.0,,
654,8.0,,
1179,7.0,,
589,7.0,,
663,7.0,,
660,7.0,,
698,7.0,,
725,7.0,,
348,7.0,,
640,7.0,,
634,7.0,,
1302,7.0,,
1253,7.0,,
337,7.0,,
1287,6.0,,
1288,6.0,,
667,6.0,,
726,6.0,,
1275,6.0,,
600,6.0,,
1256,6.0,,
1010,6.0,,
1244,6.0,,
1157,6.0,,
729,6.0,,
655,6.0,,
857,6.0,,
1016,6.0,,
733,6.0,,
1328,6.0,,
1997,6.0,,
1767,6.0,,
1330,6.0,,
1294,6.0,,
1320,6.0,,
1316,6.0,,
355,6.0,,
362,6.0,,
1296,6.0,,
1301,6.0,,
1074,5.0,,
632,5.0,,
2008,5.0,,
683,5.0,,
1239,5.0,,
1230,5.0,,
1973,5.0,,
359,5.0,,
2003,5.0,,
633,5.0,,
1988,5.0,,
635,5.0,,
743,5.0,,
1086,5.0,,
1082,5.0,,
1076,5.0,,
1075,5.0,,
943,5.0,,
393,5.0,,
1325,5.0,,
1300,5.0,,
702,5.0,,
1305,5.0,,
1284,5.0,,
586,5.0,,
1319,5.0,,
716,5.0,,
596,5.0,,
1274,5.0,,
1799,5.0,,
1323,5.0,,
722,5.0,,
620,5.0,,
1336,5.0,,
1254,5.0,,
689,5.0,,
1781,5.0,,
724,4.0,,
781,4.0,,
1026,4.0,,
2012,4.0,,
746,4.0,,
705,4.0,,
2024,4.0,,
710,4.0,,
708,4.0,,
866,4.0,,
785,4.0,,
990,4.0,,
845,4.0,,
914,4.0,,
1293,4.0,,
1034,4.0,,
1303,4.0,,
1285,4.0,,
1314,4.0,,
1317,4.0,,
1321,4.0,,
1324,4.0,,
1329,4.0,,
1344,4.0,,
1759,4.0,,
1772,4.0,,
